cluster_id,n_compounds,n_selected,n_nonselected,selected_fraction,jeffreys_probability,jeffreys_working_low,jeffreys_working_high,overall_selected_fraction,selection_lift,log2_selection_lift,conditional_expected_selected,conditional_lift,conditional_standardized_residual,conditional_permutation_p,conditional_bh_q,cluster_distance_median,cluster_distance_p90,n_wells_median,n_sources_median,n_plates_median
42,939,4,935,0.004259850905218318,0.0047872340425531915,0.0014395563726920923,0.010096888319000899,0.032621563933944574,0.13058389578881296,-2.936951106871222,30.663196795083827,0.1304495427117799,-5.215660364675,0.0004997501249375312,0.0011845928887408148,4.636399745941162,6.437827682495118,5.0,3.0,5.0
43,816,18,798,0.022058823529411766,0.022643818849449205,0.013599087393239048,0.03389411076366881,0.032621563933944574,0.6762037397740553,-0.5644700997466311,12.43821546627801,1.4471529335378437,1.7514784211881975,0.08745627186406797,0.11783581893263895,5.6985249519348145,8.377513885498047,4.0,4.0,4.0
44,693,10,683,0.01443001443001443,0.015129682997118156,0.007442591285343957,0.025445982695248393,0.032621563933944574,0.4423458807564768,-1.1767532064672992,9.351860045712453,1.0693059937936837,0.23076226822254203,0.8580709645177411,0.9002711758874661,5.71045446395874,8.036579513549807,4.0,4.0,4.0
45,1943,27,1916,0.013896037056098817,0.014146090534979424,0.009386583060010851,0.01985008962722803,0.032621563933944574,0.42597703421690364,-1.2311524426393239,37.375820250074106,0.7223921727830566,-1.852986270451036,0.06746626686656672,0.09703013661708472,4.578891277313232,6.060240840911865,4.0,4.0,4.0
46,829,7,822,0.008443908323281062,0.009036144578313253,0.003784625648211803,0.016506890949757054,0.032621563933944574,0.25884437485520734,-1.9498431286555942,11.701722965749678,0.5982025057753143,-1.474128410231341,0.15692153923038482,0.19950420829189366,5.726191520690918,7.693419456481934,4.0,4.0,4.0
47,1232,16,1216,0.012987012987012988,0.01338199513381995,0.007748822609919363,0.02050405425232413,0.032621563933944574,0.3981112926808291,-1.3287562999123492,16.95977028367185,0.9434090045078101,-0.25430840032582663,0.8895552223888056,0.9257160037867245,4.537909507751465,5.932234621047974,4.0,4.0,4.0
48,2077,35,2042,0.016851227732306212,0.0170837343599615,0.011966467838476236,0.02307976759090339,0.032621563933944574,0.5165671322940946,-0.9529722431171291,106.50145028808464,0.3286340224036911,-7.547125968065292,0.0004997501249375312,0.0011845928887408148,3.6057941913604736,4.616229057312012,7.0,3.0,7.0
49,1612,14,1598,0.008684863523573201,0.008989460632362058,0.004985863980073541,0.014140671775933786,0.032621563933944574,0.2662307527977257,-1.909250865687811,59.045551807009815,0.2371050751758397,-6.45187576921948,0.0004997501249375312,0.0011845928887408148,4.133277893066406,5.595532035827637,7.0,3.0,7.0
50,1749,24,1725,0.0137221269296741,0.014,0.00904086325781306,0.020008317182807295,0.032621563933944574,0.42064589415332887,-1.2493218324179443,40.15159911380364,0.5977345991121207,-2.7722363572206246,0.004997501249375313,0.009547465073433433,4.3511457443237305,5.779295349121094,5.0,4.0,5.0
51,539,1,538,0.0018552875695732839,0.002777777777777778,0.00020025402817198942,0.00863848906700479,0.032621563933944574,0.056873041811547016,-4.136111221969953,3.1024812136374678,0.322322660844596,-1.232559382421578,0.2433783108445777,0.29114414755239204,5.740512371063232,7.597349643707275,4.0,4.0,4.0
52,1648,7,1641,0.00424757281553398,0.004548211036992117,0.00190186603348372,0.008321605336457438,0.032621563933944574,0.13020751623481,-2.9411153643430623,60.64724371023573,0.11542156859502217,-7.473415517787952,0.0004997501249375312,0.0011845928887408148,4.163629531860352,5.61117148399353,5.0,3.0,5.0
53,1332,28,1304,0.021021021021021023,0.02138034508627157,0.014320129054167198,0.029797678892872013,0.032621563933944574,0.6443903506155162,-0.633993204231106,15.892816209435836,1.7618022904824082,3.2963037144353966,0.0024987506246876563,0.005158710967097097,4.740684509277344,6.212687015533449,4.0,4.0,4.0
