family,codec,model,config,PA_mean_nap,PC_mean_nap,nap_product
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__tvn_efaar_e0.1_c96,0.3596289571840427,0.0535146082067974,0.01924540274352316
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__tvn_efaar_e0.2,0.3901229166863674,0.0522130121673814,0.02036949259571962
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,robustmad_ctrl__tvn_efaar_e0.2_c96,0.3424300750669904,0.0544814038750735,0.01865607121869644
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__prune0.9__tvn_efaar_e0.05,0.4789813797551098,0.0506363532356568,0.024253870338582013
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__prune0.9__tvn_efaar_e0.05_c96,0.3984613748907272,0.04603040942312,0.01834134022551948
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__prune0.9__tvn_efaar_e0.1,0.4413152048750224,0.0461379172528369,0.020361364404942548
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__prune0.9__tvn_efaar_e0.1_c96,0.3787262156624644,0.0475840198952642,0.018021315780940825
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__prune0.9__tvn_efaar_e0.2,0.4037785580714522,0.048801602147043,0.01970504054650971
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__prune0.9__tvn_efaar_e0.2_c96,0.3667239922143348,0.0455894309632632,0.01671873812562769
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__tvn_efaar_e0.05,0.4789813797551098,0.0506363532356568,0.024253870338582013
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__tvn_efaar_e0.05_c96,0.3984613748907272,0.04603040942312,0.01834134022551948
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__tvn_efaar_e0.1,0.4413152048750224,0.0461379172528369,0.020361364404942548
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__tvn_efaar_e0.1_c96,0.3787262156624644,0.0475840198952642,0.018021315780940825
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__tvn_efaar_e0.2,0.4037785580714522,0.048801602147043,0.01970504054650971
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_all__tvn_efaar_e0.2_c96,0.3667239922143348,0.0455894309632632,0.01671873812562769
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__prune0.9__tvn_efaar_e0.05,0.4531557982467488,0.0526547969189358,0.0238608265293208
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__prune0.9__tvn_efaar_e0.05_c96,0.3833897333114738,0.0489290106472452,0.018758880343241597
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__prune0.9__tvn_efaar_e0.1,0.4187164307309833,0.0541665092995781,0.022680407439075956
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__prune0.9__tvn_efaar_e0.1_c96,0.3616057696225342,0.0504085910080262,0.01822803734704487
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__prune0.9__tvn_efaar_e0.2,0.3826599706829684,0.0552151082329719,0.021128611697685956
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__prune0.9__tvn_efaar_e0.2_c96,0.3465372413599574,0.0525948456638284,0.01822607272609581
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__tvn_efaar_e0.05,0.4531557982467488,0.0526547969189358,0.0238608265293208
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__tvn_efaar_e0.05_c96,0.3833897333114738,0.0489290106472452,0.018758880343241597
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__tvn_efaar_e0.1,0.4187164307309833,0.0541665092995781,0.022680407439075956
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__tvn_efaar_e0.1_c96,0.3616057696225342,0.0504085910080262,0.01822803734704487
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__tvn_efaar_e0.2,0.3826599706829684,0.0552151082329719,0.021128611697685956
DINOv2,MQ,dinov2_jpegxl_lossy_mq_raw,std_ctrl__tvn_efaar_e0.2_c96,0.3465372413599574,0.0525948456638284,0.01822607272609581
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__prune0.9__tvn_efaar_e0.05,0.5115911715738608,0.0968549025860233,0.04955011308665582
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__prune0.9__tvn_efaar_e0.05_c96,0.4384435226381187,0.0884342600750066,0.03877342850918143
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__prune0.9__tvn_efaar_e0.1,0.4863566215120723,0.0996854580584241,0.04848268259517853
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__prune0.9__tvn_efaar_e0.1_c96,0.4317295304858687,0.0895213329153068,0.038649003027994545
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__prune0.9__tvn_efaar_e0.2,0.4627035354036747,0.0910975615187361,0.042151163781372944
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__prune0.9__tvn_efaar_e0.2_c96,0.422154461711472,0.0971445079602218,0.04100998746617324
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__tvn_efaar_e0.05,0.5115911715738608,0.0968549025860233,0.04955011308665582
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__tvn_efaar_e0.05_c96,0.4384435226381187,0.0884342600750066,0.03877342850918143
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__tvn_efaar_e0.1,0.4863566215120723,0.0996854580584241,0.04848268259517853
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__tvn_efaar_e0.1_c96,0.4317295304858687,0.0895213329153068,0.038649003027994545
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__tvn_efaar_e0.2,0.4627035354036747,0.0910975615187361,0.042151163781372944
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_all__tvn_efaar_e0.2_c96,0.422154461711472,0.0971445079602218,0.04100998746617324
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.480356766631462,0.1166061182112741,0.056012537913413665
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.05_c96,0.4020633174779545,0.0975616127912603,0.039225945697353756
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.1,0.4572666427660173,0.1176416123199329,0.05379358511511706
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.1_c96,0.3970718269965914,0.0968776859226261,0.03846739974449911
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.2,0.4335419089138655,0.104981299739379,0.04551379308926907
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.2_c96,0.3889956501942431,0.0914822439556708,0.03558619496876453
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__tvn_efaar_e0.05,0.4803530012602708,0.1166053429204283,0.0560117264348108
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__tvn_efaar_e0.05_c96,0.4020625942318976,0.0975613397641811,0.03922576536232624
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__tvn_efaar_e0.1,0.457264536247594,0.1176424195011266,0.05379370639622756
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__tvn_efaar_e0.1_c96,0.3970718269965914,0.0968776859226261,0.03846739974449911
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__tvn_efaar_e0.2,0.4335419089138655,0.104981299739379,0.04551379308926907
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,robustmad_ctrl__tvn_efaar_e0.2_c96,0.3889956501942431,0.0914822439556708,0.03558619496876453
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__prune0.9__tvn_efaar_e0.05,0.5009410113117556,0.0973981432805041,0.048790724394822994
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__prune0.9__tvn_efaar_e0.05_c96,0.4405966437643834,0.0880064800294294,0.03877535973048383
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__prune0.9__tvn_efaar_e0.1,0.47646731259853,0.0958483309332484,0.04566859665681942
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__prune0.9__tvn_efaar_e0.1_c96,0.4326558359054739,0.0852484050996719,0.03688321996800701
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__prune0.9__tvn_efaar_e0.2,0.4526284166354378,0.0976215916255976,0.044186306446925554
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__prune0.9__tvn_efaar_e0.2_c96,0.4234525445020594,0.0888167385600818,0.037609673937640815
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__tvn_efaar_e0.05,0.5009410113117556,0.0973981432805041,0.048790724394822994
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__tvn_efaar_e0.05_c96,0.4405966437643834,0.0880064800294294,0.03877535973048383
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__tvn_efaar_e0.1,0.47646731259853,0.0958483309332484,0.04566859665681942
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__tvn_efaar_e0.1_c96,0.4326558359054739,0.0852484050996719,0.03688321996800701
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__tvn_efaar_e0.2,0.4526284166354378,0.0976215916255976,0.044186306446925554
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_all__tvn_efaar_e0.2_c96,0.4234525445020594,0.0888167385600818,0.037609673937640815
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.05,0.4749001605417725,0.0904772491685619,0.042967660155528
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.05_c96,0.4074818748381459,0.1086078354432386,0.0442557244085237
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.1,0.454495324272756,0.0920532836705724,0.0418377870122288
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.1_c96,0.3972483822682316,0.1011364584875335,0.04017629452251084
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.2,0.4331093900889556,0.0919833415237383,0.0398388489456904
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__prune0.9__tvn_efaar_e0.2_c96,0.3862210334798485,0.095618473859618,0.03692986579382754
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.05,0.4749001605417725,0.0904772491685619,0.042967660155528
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.05_c96,0.4074818748381459,0.1086078354432386,0.0442557244085237
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.1,0.454495324272756,0.0920532836705724,0.0418377870122288
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.1_c96,0.3972483822682316,0.1011364584875335,0.04017629452251084
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.2,0.4331093900889556,0.0919833415237383,0.0398388489456904
MorphEM,D2-E8,morphem_jpegxl_lossy_d2_e8_raw,std_ctrl__tvn_efaar_e0.2_c96,0.3862210334798485,0.095618473859618,0.03692986579382754
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.05,0.5033117265361814,0.0806585997061076,0.04059641907807175
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.05_c96,0.4405171365238963,0.0742761058553607,0.0327198974635493
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.1,0.4771552646106342,0.0823964379733734,0.03931589416415869
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.1_c96,0.4336201531230769,0.0779176156040133,0.03378664840919729
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.2,0.454841854439218,0.0820643430052344,0.037326297955836876
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__prune0.9__tvn_efaar_e0.2_c96,0.4239690437854619,0.0800151013271784,0.03392392599808067
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.05,0.5033117265361814,0.0806585997061076,0.04059641907807175
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.05_c96,0.4405171365238963,0.0742761058553607,0.0327198974635493
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.1,0.4771552646106342,0.0823964379733734,0.03931589416415869
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.1_c96,0.4336201531230769,0.0779176156040133,0.03378664840919729
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.2,0.454841854439218,0.0820643430052344,0.037326297955836876
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_all__tvn_efaar_e0.2_c96,0.4239690437854619,0.0800151013271784,0.03392392599808067
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.4594518639659765,0.0790895164703779,0.03633782576248292
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.05_c96,0.4017420094419638,0.0842605642028008,0.0338510083795468
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.1,0.434414901061799,0.0813523011263766,0.03534065184496457
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.1_c96,0.3954552374481758,0.0819349033941972,0.0324015866770456
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.2,0.4154760409574682,0.0833236006663418,0.03461895972317275
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_ctrl__prune0.9__tvn_efaar_e0.2_c96,0.3848398334630709,0.0749021905695975,0.0288253465448231
MorphEM,MQ,morphem_jpegxl_lossy_mq_raw,robustmad_ctrl__tvn_efaar_e0.05,0.4594518639659765,0.0790895164703779,0.03633782576248292
