seed,universe,predictor,n,n_selected,prevalence,roc_auc,average_precision,ap_lift,log_loss,brier,precision_at_selected_count,recall_at_selected_count,retrieved_with_ties
1729,matched_1729,constant,7664,3832,0.5,0.49063035268326066,0.4940245909033646,0.9880491818067292,0.6932265331408343,0.2500396758838685,0.49397326320403245,0.5882045929018789,4563
1729,matched_1729,count_only,7664,3832,0.5,0.6988325361966693,0.7351808103448052,1.4703616206896104,0.6026863721732919,0.20821607308531584,0.6499610490781615,0.6531837160751566,3851
1729,matched_1729,cluster_only,7664,3832,0.5,0.7363357777707559,0.7107413348184253,1.4214826696368505,0.6004897441099285,0.20663043799377206,0.6773604590505999,0.677713987473904,3834
1729,matched_1729,count_plus_cluster,7664,3832,0.5,0.8091932879803522,0.8113368259082506,1.6226736518165013,0.5268842526638491,0.1765895487018515,0.7262526096033403,0.7262526096033403,3832
196613,matched_196613,constant,7664,3832,0.5,0.48160277315301103,0.48851772474339095,0.9770354494867819,0.6934656276832367,0.25015921451593587,0.48936170212765956,0.5882045929018789,4606
196613,matched_196613,count_only,7664,3832,0.5,0.7065580380686102,0.7460974412653039,1.4921948825306077,0.5997463206347743,0.20729543675035683,0.6630054917623565,0.6931106471816284,4006
196613,matched_196613,cluster_only,7664,3832,0.5,0.7357371761694728,0.706264214706631,1.412528429413262,0.6004493568418559,0.20670261500108533,0.676875162211264,0.6805845511482255,3853
196613,matched_196613,count_plus_cluster,7664,3832,0.5,0.8108149943776396,0.8147060332605232,1.6294120665210463,0.5231669336756976,0.17558087904284095,0.7252087682672234,0.7252087682672234,3832
2026,matched_2026,constant,7664,3832,0.5,0.49337527131157904,0.4962016778925305,0.992403355785061,0.6931904197395784,0.2500216194903965,0.49511824690822304,0.5955114822546973,4609
2026,matched_2026,count_only,7664,3832,0.5,0.7056724277701021,0.7411982350637941,1.4823964701275882,0.6002227574897587,0.20638176559531313,0.661148473874806,0.6670146137787056,3866
2026,matched_2026,cluster_only,7664,3832,0.5,0.7332674848871822,0.7078354909617419,1.4156709819234838,0.6024770061844804,0.20754939484114368,0.6691866527632951,0.6698851774530271,3836
2026,matched_2026,count_plus_cluster,7664,3832,0.5,0.8103477922973662,0.8143243676387198,1.6286487352774397,0.5247413750615929,0.175822067516119,0.7200104085349986,0.7220772442588727,3843
31415,matched_31415,constant,7664,3832,0.5,0.49050048541890945,0.49420286115645234,0.9884057223129047,0.6932285356249299,0.25004067701577176,0.49399432190434595,0.5902922755741128,4579
31415,matched_31415,count_only,7664,3832,0.5,0.709963665768106,0.7462164235944814,1.4924328471889627,0.6000980057145978,0.20657589052805603,0.6633537206931702,0.6792797494780793,3924
31415,matched_31415,cluster_only,7664,3832,0.5,0.7296990293801021,0.6989789850584298,1.3979579701168596,0.606269278638385,0.20899332928083442,0.6675351745700886,0.668580375782881,3838
31415,matched_31415,count_plus_cluster,7664,3832,0.5,0.8081570738773802,0.8093872008083824,1.618774401616765,0.528481441086101,0.17679960124263835,0.7216307452609712,0.7252087682672234,3851
42,matched_42,constant,7664,3832,0.5,0.49389657907697404,0.49625172692727143,0.9925034538545429,0.6931839212709242,0.25001837022574747,0.49647577092511014,0.5882045929018789,4540
42,matched_42,count_only,7664,3832,0.5,0.7176101372466125,0.7559125588470281,1.5118251176940563,0.5968198756839012,0.20604097493411147,0.6743845966366073,0.7220772442588727,4103
42,matched_42,cluster_only,7664,3832,0.5,0.7381097223796095,0.7146583176020179,1.4293166352040358,0.597397678923264,0.20559131173486775,0.6781549624254989,0.6829331941544885,3859
42,matched_42,count_plus_cluster,7664,3832,0.5,0.8125673852428293,0.8181735398720056,1.6363470797440112,0.5194341164361513,0.17410440125128393,0.7318027654578659,0.7319937369519833,3833
65537,matched_65537,constant,7664,3832,0.5,0.49014534237559976,0.49322252900177543,0.9864450580035509,0.6932478888814662,0.25005035317481816,0.49429824561403507,0.5882045929018789,4560
65537,matched_65537,count_only,7664,3832,0.5,0.70770423414952,0.7469221182744373,1.4938442365488747,0.5974078549699362,0.20633817375465838,0.6584298584298585,0.6675365344467641,3885
65537,matched_65537,cluster_only,7664,3832,0.5,0.7371334365370618,0.7098008777593938,1.4196017555187876,0.6005000911187748,0.20663448955328523,0.677713987473904,0.677713987473904,3832
65537,matched_65537,count_plus_cluster,7664,3832,0.5,0.8119637782697948,0.8180370504384517,1.6360741008769033,0.5209822834828229,0.17505974110315137,0.7272491573761991,0.7319937369519833,3857
