method,file,source_id,dice,iou,hausdorff_95,asd,precision,recall
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A11__2,0.9943770602269209,0.9888170017793192,1.0,0.09278358044799237,0.9982859180166015,0.9904986938538568
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A11__3,0.9944466841168221,0.9889547062389221,1.0,0.09166864052333827,0.9990659493984869,0.9898699373687182
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A11__4,0.99450782397934,0.9890756464313907,1.0,0.09453302961275627,0.9991636616836462,0.9898951749653152
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A11__5,0.9949506337676683,0.9899520035493173,1.0,0.08728179551122195,0.9989164055187009,0.9910162263103439
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A12__1,0.9948191655946026,0.9896917365949142,1.0,0.08994528387188856,0.9984342593404025,0.9912301561983423
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A12__2,0.9930460378769,0.9861881230231461,1.0,0.08715681867762336,0.9989503121646287,0.9872111476678924
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A11__6,0.9937709464925459,0.9876190148043505,1.0,0.18719175817602995,0.9983629777550737,0.9892209644763482
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A12__3,0.9944519588584015,0.9889651395764247,1.0,0.09458318127490545,0.9990999099909991,0.9898470532964452
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A12__4,0.9950018810125222,0.9900534759358289,1.0,0.08910359235554882,0.9987053619592189,0.9913257656885843
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A12__5,0.9948830210683145,0.9898181424870084,1.0,0.08990454335235355,0.9991414519883078,0.9906607357253921
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A12__6,0.9948411161140501,0.9897351872054184,1.0,0.09031156177871813,0.9984363314977225,0.9912716994663461
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__1,0.9952974311550105,0.9906388836043376,1.0,0.08097100653906811,0.9983871968240183,0.9922267306312769
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__2,0.9946135232436899,0.9892847638577981,1.0,0.09147210405746527,0.9990751719231681,0.9901915468682675
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__3,0.9947386377920235,0.989532349683827,1.0,0.08924740538687706,0.9993351029559571,0.9901842621343356
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__4,0.995050900146893,0.990150546224022,1.0,0.08522921651345222,0.9993309918046496,0.9908073150301675
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__5,0.9954789110098488,0.9909985185185185,1.0,0.0789889291094177,0.9984178726656159,0.9925572009377689
