method,file,source_id,dice,iou,hausdorff_95,asd,precision,recall
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__1,0.9926465227656365,0.9854004033329947,1.0,0.5238262480666726,0.9941867241067003,0.9911110862252632
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A12__6,0.9810881021803988,0.9628782471574404,5.0,1.799921331313556,0.9950574703442503,0.9675055289747185
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__2,0.9857153628750237,0.9718330799814408,2.0,0.6687398934013318,0.9984093500720269,0.9733401112711457
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__3,0.9935624019868075,0.9872071591405152,1.0,0.45253249769102444,0.996491213754442,0.9906507560516581
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__5,0.9941105302464526,0.9882900260304138,1.0,0.4057588872477723,0.9970219236156364,0.9912160904304831
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__4,0.9923982591512615,0.9849112193031041,1.0,0.4254796754255021,0.9973747172722162,0.9874712151199743
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A13__6,0.9960793057074209,0.992189235036455,1.0,0.3111609118288282,0.9954253044661354,0.9967341668802749
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__1,0.9874457495384215,0.9752028092206307,3.0,0.9144692695389681,0.9981002943043453,0.9770162729848567
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__2,0.9908134679294793,0.9817941841699513,2.0,0.616160203367826,0.9973476934928293,0.984364304369742
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__4,0.9920978319325424,0.9843195732327689,2.23606797749979,0.6899154078316374,0.998591742226345,0.9856878366181213
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__3,0.9928908849010601,0.9858821353270318,2.0,0.6360678070175664,0.9974344189951622,0.988388556707748
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__5,0.997169803837581,0.9943555824839551,1.0,0.2138617710504088,0.9975511978974899,0.9967887013032323
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__1,0.9929500214714682,0.9859987514446242,1.4142135623730951,0.42459684445726403,0.9960789407223004,0.9898406980146051
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A14__6,0.9907253518314281,0.9816211609289867,1.0,0.37661507488262175,0.9948077459349142,0.9866763266460005
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__3,0.9943593731038729,0.9887820226326045,2.0,0.6887214023765864,0.9963498965316135,0.992376787216148
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__2,0.9886390688271217,0.9775333793847406,2.8284271247461903,0.9624573776149247,0.997989380548072,0.9794623397217478
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__4,0.9895088377048603,0.9792355189503865,2.8284271247461903,0.8209646635973699,0.9975629590034985,0.9815837294692734
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__6,0.9937142094257629,0.9875069475627792,1.0,0.4676888782337768,0.9955190665223145,0.9919158848289578
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A15__5,0.9872782956495132,0.9748762087435542,2.23606797749979,0.9190318658118427,0.9960200156829022,0.9786886866419041
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A16__2,0.9914743536338138,0.9830928516356426,1.4142135623730951,0.3730551606016082,0.9961988278133684,0.9867944795874138
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A16__1,0.9833676923949842,0.9672796005387666,3.1622776601683795,0.8682826374562895,0.9980612193970201,0.969100526733692
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A16__3,0.9903293294710641,0.9808439111658661,2.0,0.5789580475165098,0.997535415900233,0.9832266082985394
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A16__4,0.9910265719691381,0.9822127564878004,2.0,0.5148473891189476,0.9966548454802056,0.9854615090661617
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A16__5,0.9935815881249175,0.9872450428184751,1.4142135623730951,0.5521053419236633,0.9929938315255823,0.9941700409268028
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A16__6,0.9930210356519735,0.9861388080682598,1.4142135623730951,0.40389443473376235,0.9958947230747547,0.9901638847542108
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A17__1,0.9885393919131995,0.9773384984147263,2.23606797749979,0.7827267785942249,0.9981481437145819,0.9791138750002936
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A17__2,0.9941784084329023,0.9884242064081612,1.0,0.21348463393150688,0.9956986684441069,0.9926627836937241
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A17__3,0.9879271723963181,0.9761423738007726,2.23606797749979,0.7122319110499284,0.9980635083918586,0.9779946557288334
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A17__4,0.9901751462123667,0.9805414696404383,2.8284271247461903,1.2780537017369686,0.9982563349429979,0.9822237461654798
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A17__5,0.9878811215326869,0.9760524603875285,2.23606797749979,0.7130065428264741,0.9972242456431338,0.9787114462559023
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A17__6,0.9907503823035544,0.9816703072574705,2.23606797749979,0.691980708007734,0.9969033993566435,0.9846728537638455
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A18__2,0.9874431192578424,0.975197678311259,2.23606797749979,0.746469237818177,0.9978157511958491,0.9772839226164952
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A18__1,0.9833903102270712,0.9673233691552976,4.123105625617661,1.210048383557406,0.9961412417372242,0.9709616852204038
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A18__3,0.988056281179566,0.9763944998159461,3.0,0.9138989079295438,0.9955092931857888,0.9807140358246467
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A18__5,0.9949792581181034,0.9900086800746117,1.0,0.4330173815431842,0.9924127184930345,0.9975591071356572
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A18__6,0.9931918521784793,0.9864757792509886,2.0,0.5448724337973607,0.9969732477712598,0.9894390329260112
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A18__4,0.9796352168749219,0.9600833281158397,5.0,2.0142278412933083,0.9961777691684404,0.9636331021150135
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A19__2,0.9887881900549447,0.9778250019732967,2.23606797749979,0.7530641730458435,0.9951283775099607,0.9825282806603112
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A19__3,0.9881676844684281,0.9766121019264822,2.0,0.6563056493580652,0.9974611492483256,0.9790457977203799
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A19__1,0.9840586577729868,0.9686175932321671,2.8284271247461903,0.9065032581808814,0.9970959390794726,0.9713579077287826
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A19__4,0.9860083737030914,0.9724028760513417,2.8284271247461903,1.0752942658225946,0.9958721808427522,0.9763380461494271
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A19__6,0.9893288364430708,0.9788830156796531,2.0,0.5724083736839226,0.9981726116616907,0.9806403960554159
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A19__5,0.9930390634666582,0.9861743662920903,1.0,0.3864879379246508,0.9958731607345854,0.990221051207145
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A20__1,0.9954565247433621,0.9909541490865248,1.4142135623730951,0.39950251823633315,0.9973028183915132,0.9936170545016357
jpegxl_lossy_hq.zarr,0000.npz,source_3__CP_25_all_Phenix1__JCPQC016__A20__2,0.9843297117073261,0.9691429620944896,3.605551275463989,1.0361038672664047,0.99133604760091,0.9774217163098792
