Metadata_JCP2022	Metadata_repurposing_name	Metadata_repurposing_moa	Metadata_repurposing_target
JCP2022_006011	ethinyl-estradiol	estrogen receptor agonist|estrogenic hormone	ESR1|ESR2|NR1I2
JCP2022_006029	dabrafenib	RAF inhibitor	BRAF|LIMK1|NEK11|RAF1|SIK1
JCP2022_006032	CNX-2006	EGFR inhibitor	EGFR
JCP2022_006067	exemestane	aromatase inhibitor	CYP19A1
JCP2022_006103	APR-246	p53 activator	TP53
JCP2022_006114	tropicamide	acetylcholine receptor antagonist	CHRM3|CHRM4
JCP2022_006127	stemregenin-1	aryl hydrocarbon receptor antagonist	AHR
JCP2022_006176	PRT062070	JAK inhibitor|SYK inhibitor	SYK
JCP2022_006226	levosulpiride	dopamine receptor antagonist	CA1|CA12|CA7|DRD2|DRD3
JCP2022_006239	vecuronium	acetylcholine receptor antagonist	CHRNA2
JCP2022_006270	TG-003	CLK inhibitor	CLK1|CLK4|DYRK1A|DYRK1B
JCP2022_006316	JNJ-1661010	FAAH inhibitor	FAAH
JCP2022_006377	TC-S-7003	SRC inhibitor	LCK
JCP2022_006390	varespladib	secretory phospholipase inhibitor	PLA2G2A
JCP2022_006424	cholic-acid	bile acid	ADH1C|CES1|COX4I1|COX5A|COX5B|COX6A2|COX6B1|COX6C|COX7A1|COX7B|COX7C|COX8A|ESRRG|FABP6|FECH|GPBAR1|MT-CO1|MT-CO2|MT-CO3|PLA2G1B
JCP2022_006454	PF-06447475	serine/threonine kinase inhibitor	LRRK2
JCP2022_006509	talnetant	tachykinin antagonist	TACR2|TACR3
JCP2022_006525	fosinopril	angiotensin converting enzyme inhibitor	ACE
JCP2022_006561	alvocidib	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
JCP2022_006671	UK-5099	monocarboxylate transporter inhibitor	SLC16A1
JCP2022_006690	flumatinib	Bcr-Abl kinase inhibitor	ABL1|PDGFRB
JCP2022_006714	lypressin	vasopressin receptor agonist	AVPR1A|AVPR1B|AVPR2
JCP2022_006793	arbutin	melanin inhibitor	TYR
JCP2022_006798	BML-190	cannabinoid receptor inverse agonist	CNR2
JCP2022_006868	A-366	histone lysine methyltransferase inhibitor	EHMT1|EHMT2
JCP2022_006922	elesclomol	oxidative stress inducer	HSPA1A
JCP2022_006961	erastin	ion channel antagonist	VDAC2
JCP2022_006998	MK-1775	WEE1 kinase inhibitor	WEE1
JCP2022_007041	goserelin-acetate	gonadotropin releasing factor hormone receptor agonist	GNRHR|LHCGR
JCP2022_007067	benzocaine	sodium channel blocker	SCN10A
JCP2022_007081	MLN1117	PI3K inhibitor	PIK3CA
JCP2022_007083	rauwolscine	adrenergic receptor antagonist	ADRA2A|ADRA2B|ADRA2C|HTR1B|HTR1D|HTR1E|HTR2B
JCP2022_007083	yohimbine	adrenergic receptor antagonist	ADRA2A|ADRA2B|ADRA2C|DRD2|DRD3|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|KCNJ1|KCNJ10|KCNJ11|KCNJ12|KCNJ14|KCNJ15|KCNJ8
JCP2022_007100	timolol	adrenergic receptor antagonist	ADRB1|ADRB2
JCP2022_007113	carfilzomib	proteasome inhibitor	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9
JCP2022_007138	ENMD-2076	Aurora kinase inhibitor|FLT3 inhibitor|VEGFR inhibitor	AURKA|FLT3|KDR|PDGFRA|PTK2|SRC
JCP2022_007162	artemisinin	DNA synthesis inhibitor	CYP2B6
JCP2022_007175	RGFP966	HDAC inhibitor	HDAC3
JCP2022_007196	nabumetone	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_007211	2-APB	1,4,5-trisphosphate inhibitor	TRPC1|TRPC3|TRPC4|TRPC5|TRPC6|TRPC7|TRPM2|TRPM3|TRPM6|TRPV1|TRPV6
JCP2022_007256	midostaurin	FLT3 inhibitor|KIT inhibitor|PKC inhibitor	FLT3|PRKCG
JCP2022_007278	dexrazoxane	chelating agent|topoisomerase inhibitor	TOP2A|TOP2B
JCP2022_007295	BGT226	PI3K inhibitor	MTOR|PIK3CA|PIK3CB|PIK3CG
JCP2022_007309	clinofibrate	lipase clearing factor inhibitor	LPL
JCP2022_007311	licarbazepine	voltage-gated sodium channel blocker	SCN5A
JCP2022_007339	IKK-2-inhibitor	IKK inhibitor|SYK inhibitor	IKBKB
JCP2022_007340	isoxsuprine	adrenergic receptor agonist	ADRB2
JCP2022_007419	efaproxiral	hemoglobin oxygen release stimulant	HBA1|HBB
JCP2022_007501	hexamethylenebisacetamide	AKT inhibitor|differentiation inducer|NFKB pathway inhibitor	AKT1
JCP2022_007511	sildenafil	phosphodiesterase inhibitor	PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3
JCP2022_007557	WAY-213613	glutamate inhibitor	SLC1A2
JCP2022_007598	cyclothiazide	glutamate receptor modulator	CA2|GRIA1|GRIA2|GRIA3|GRIA4|SLC12A3
JCP2022_007605	cefadroxil	bacterial cell wall synthesis inhibitor	SLC15A1|SLC15A2|SLC22A6|SLC22A8
JCP2022_007613	deferasirox	chelating agent	CYP3A4
JCP2022_007629	GMX1778	NAMPT inhibitor	NAMPT
JCP2022_007732	A-922500	diacylglycerol O acyltransferase inhibitor	DGAT1
JCP2022_007732	A922500	diacylglycerol O acyltransferase inhibitor	DGAT1
JCP2022_007745	PX-12	thioredoxin inhibitor	CNR1|TXN
JCP2022_007768	temozolomide	DNA alkylating agent	MGMT
JCP2022_007801	xylazine	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C
JCP2022_007842	A-674563	AKT inhibitor	AKT1|PKIA|PRKACA
JCP2022_007850	SB-706375	urotensin receptor antagonist	UTS2R
JCP2022_007853	EMD-386088	serotonin receptor agonist	HTR6
JCP2022_007866	vismodegib	hedgehog pathway inhibitor|smoothened receptor antagonist	SMO
JCP2022_007877	LPA2-antagonist-1	lysophosphatidic acid receptor antagonist	LPAR2
