Metadata_JCP2022	Metadata_repurposing_name	Metadata_repurposing_moa	Metadata_repurposing_target
JCP2022_012142	torcetrapib	cholesteryl ester transfer protein inhibitor	CETP
JCP2022_012146	cyclophosphamide	DNA alkylating agent	CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7
JCP2022_012183	naproxen	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_012195	Ro-48-8071	oxidosqualene cyclase inhibitor	LSS
JCP2022_012198	KG-5	RAF inhibitor	BRAF|FLT3|KIT|PDGFRB
JCP2022_012252	DC-260126	free fatty acid receptor antagonist	FFAR1
JCP2022_012266	naphazoline	adrenergic receptor agonist	ADRA1A|ADRA2A
JCP2022_012317	vicriviroc	CC chemokine receptor antagonist	CCR5
JCP2022_012432	TCS-OX2-29	orexin receptor antagonist	HCRTR2
JCP2022_012469	tirofiban	platelet aggregation inhibitor|structural glycoprotein antagonist	ITGA2B|ITGB3
JCP2022_012473	D-phenylalanine	enkephalinase inhibitor	CCBL1|CRH|HCAR3
JCP2022_012591	flubendazole	tubulin polymerization inhibitor	TUBB
JCP2022_012638	phenacetin	cyclooxygenase inhibitor	PTGS1
JCP2022_012686	TGX-221	PI3K inhibitor	PIK3CB|PIK3CD
JCP2022_012748	palonosetron	serotonin receptor antagonist	HTR3A
JCP2022_012783	UNC669	L3MBTL antagonist	L3MBTL1
JCP2022_012818	TC-S-7004	DYRK inhibitor	DYRK1A|DYRK1B
JCP2022_012845	2-methoxyestradiol	hypoxia inducible factor inhibitor	COMT|CYP19A1|CYP1A1|CYP1B1|HIF1A|TUBB
JCP2022_012896	EMD-66684	angiotensin receptor antagonist	AGTR1
JCP2022_012905	rilmenidine	adrenergic receptor agonist|imidazoline receptor agonist	ADRA2A
JCP2022_013125	BMS-690514	EGFR inhibitor|VEGFR inhibitor	EGFR|ERBB2|FLT3|KDR
JCP2022_013133	rucinol	tyrosinase inhibitor	TYR
JCP2022_013161	cebranopadol	opioid receptor agonist	OPRL1|OPRM1
JCP2022_013336	cloxyquin	potassium channel activator	KCNK18
JCP2022_013346	oxcarbazepine	sodium channel blocker	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
JCP2022_013424	lucitanib	FGFR inhibitor|VEGFR inhibitor	FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET
JCP2022_013451	dexmedetomidine	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C
JCP2022_013451	medetomidine	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C
JCP2022_013455	pazopanib	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3
JCP2022_013525	1-phenylbiguanide	serotonin receptor agonist	HTR3A|HTR3B
JCP2022_013535	dicycloverine	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3
JCP2022_013659	saccharin	DNA polymerase inhibitor	CA1|CA12|CA2|CA9
JCP2022_013769	quizartinib	FLT3 inhibitor	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET
JCP2022_013856	buparlisib	PI3K inhibitor	PIK3CA|PIK3CG
JCP2022_013872	AMD-3465	CC chemokine receptor antagonist	CXCR4
JCP2022_013874	amtolmetin-guacil	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_013951	chlorogenic-acid	antioxidant	SLC37A4
JCP2022_014031	tesaglitazar	insulin sensitizer|PPAR receptor agonist	PPARA|PPARG
JCP2022_014078	phenytoin	hydantoin antiepileptic	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
JCP2022_014091	foretinib	VEGFR inhibitor	FLT1|FLT4|KDR|MET
JCP2022_014114	1-EBIO	potassium channel activator	KCNN1|KCNN2|KCNN3|KCNN4
JCP2022_014282	selumetinib	MEK inhibitor	MAP2K1
JCP2022_014367	MCOPPB	nociceptin/orphanin FQ receptor agonist	OPRL1
JCP2022_014423	delivert	angiotensin receptor agonist	AGTR1|AGTR2
JCP2022_014451	eptifibatide	platelet aggregation inhibitor	ITGA2B|ITGB3
JCP2022_014510	LY294002	DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor	AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIM1|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1
JCP2022_014520	KD-023	ACAT inhibitor	ACACA|ACACB
JCP2022_014569	CHR-6494	serine/threonine kinase inhibitor	GSG2
JCP2022_014574	TC-S-7005	PLK inhibitor	PLK2
JCP2022_014609	Ro-67-7476	glutamate receptor positive allosteric modulator	GRM1
JCP2022_014620	fenigam	benzodiazepine receptor agonist	GABBR1|GABBR2
JCP2022_014665	T-5224	AP inhibitor	JUN
JCP2022_014767	probenecid	uricosuric blocker	PANX1|SLC22A11|SLC22A6|SLC22A8|SLCO1C1
JCP2022_014806	finasteride	5 alpha reductase inhibitor	AKR1D1|SRD5A1|SRD5A2
JCP2022_014909	lubiprostone	chloride channel activator	CLCN2
JCP2022_014968	fesoterodine	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
JCP2022_015061	diclofenac	cyclooxygenase inhibitor	AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A
JCP2022_015081	DAA-1106	benzodiazepine receptor agonist	TSPO
JCP2022_015087	cisapride	serotonin receptor agonist	HTR2A|HTR3A|HTR4|KCNH2
JCP2022_015138	myricitrin	PKC inhibitor	NOS1|PRKCA
JCP2022_015183	isavuconazole	cytochrome P450 inhibitor	CYP3A4
JCP2022_015193	pinaverium	T-type calcium channel blocker	CACNA1C
JCP2022_015225	vinpocetine	phosphodiesterase inhibitor|sodium channel blocker	PDE1A|PDE1C
JCP2022_015262	ERK5-IN-1	MAP kinase inhibitor	MAPK7
JCP2022_015269	griseofulvin	tubulin polymerization inhibitor	KRT12
JCP2022_015333	CP-673451	PDGFR tyrosine kinase receptor inhibitor	KIT|PDGFRA|PDGFRB
JCP2022_015465	selinexor	exportin antagonist	XPO1
JCP2022_015488	GDC-0879	RAF inhibitor	BRAF
JCP2022_015496	AZD9496	estrogen receptor agonist	ESR1
JCP2022_015528	sevoflurane	membrane integrity inhibitor	ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9|MT-ND1
JCP2022_015566	AZD8931	EGFR inhibitor	EGFR|ERBB2|ERBB3
JCP2022_015608	nicotinamide	protein synthesis stimulant	BST1|LDHA|PARP1|SIRT5
JCP2022_015610	naringin	cytochrome P450 inhibitor	SLCO1A2
JCP2022_015616	GSK2190915	lipoxygenase inhibitor	ALOX5AP
JCP2022_015671	apocynin	NADPH oxidase inhibitor	NOX4
JCP2022_015718	GW-9508	free fatty acid receptor agonist|G protein-coupled receptor agonist	FFAR1|FFAR4
JCP2022_015786	proglumide	CCK receptor antagonist	CCKAR|CCKBR
JCP2022_015805	API-001	sigma receptor antagonist	SIGMAR1
JCP2022_015820	KHS-101	neural stem cell inducer	TACC3
JCP2022_015861	NU-6027	CDK inhibitor	CCNA2|CDK2
JCP2022_015941	FRAX486	serine/threonine kinase inhibitor	PAK1|PAK2|PAK3|PAK4
JCP2022_015954	AZD4282	glutamate receptor antagonist	AGXT|AGXT2|ALAS1|ALAS2|BAAT|GARS|GATM|GCAT|GCSH|GLDC|GLRA1|GLRA2|GLRA3|GLRB|GLYAT|GLYATL1|GLYATL2|GNMT|GPR18|GPRC6A|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3B|GSS|PIPOX|SHMT1|SHMT2|SLC32A1|SLC36A1|SLC6A5|SLC6A9
JCP2022_015955	lonafarnib	farnesyltransferase inhibitor	FNTA|HRAS|KRAS|NRAS
JCP2022_016107	FK-3311	cyclooxygenase inhibitor	PTGS2
JCP2022_016242	mofezolac	cyclooxygenase inhibitor	PTGS1
JCP2022_016288	A-987306	histamine receptor antagonist	ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2
JCP2022_016289	CPI-1189	tumor necrosis factor release inhibitor	TNF
JCP2022_016322	OICR-9429	WDR5/MLL interaction inhibitor	WDR5
JCP2022_016340	acipimox	cholesterol inhibitor	HCAR2
JCP2022_016517	almorexant	orexin receptor antagonist	HCRTR1|HCRTR2
JCP2022_016518	melperone	dopamine receptor antagonist|serotonin receptor antagonist	DRD2|HTR2A
JCP2022_016537	CEP-32496	RAF inhibitor	BRAF|RAF1
JCP2022_016538	amantadine	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
JCP2022_016549	SB-525334	TGF beta receptor inhibitor	TGFBR1
JCP2022_016618	ketoprofen	cyclooxygenase inhibitor	PTGS1|PTGS2|SLC5A8
JCP2022_016631	OTS167	maternal embryonic leucine zipper kinase inhibitor	MELK
JCP2022_016664	STF-118804	NAMPT inhibitor	NAMPT
JCP2022_016807	hydroflumethiazide	sodium/potassium/chloride transporter inhibitor	ATP1A1|CA1|CA12|CA2|CA4|CA9|KCNMA1|SLC12A1|SLC12A3
JCP2022_016839	SGC-707	protein arginine N-methyltransferase inhibitor	PRMT3
JCP2022_016871	BX-912	pyruvate dehydrogenase kinase inhibitor	CDK2|CHEK1|GSK3B|KDR|PDK1|PDPK1
JCP2022_016935	SRC-kinase-inhibitor-I	SRC inhibitor	CSK|LCK|RIPK2
JCP2022_017067	GW-9662	PPAR receptor antagonist	NCOA2|PPARG|RXRA
JCP2022_017085	JQ1-(+)	bromodomain inhibitor	BRD4|BRDT
JCP2022_017087	UAMC-00039	dipeptidyl peptidase inhibitor	DPP4|DPP7
JCP2022_017097	estrone	estrogen receptor agonist|estrogenic hormone	ESR1|ESR2
JCP2022_017136	acalisib	PI3K inhibitor	PIK3CB|PIK3CD
JCP2022_017153	BAY-11-7082	NFkB pathway inhibitor	RELA
JCP2022_017225	terbinafine	fungal squalene epoxidase inhibitor	SQLE
JCP2022_017275	LY2606368	CHK inhibitor	CHEK1
JCP2022_017286	rosmarinic-acid	GABA transaminase inhibitor	MCL1|TYR
JCP2022_017290	imiquimod	interferon inducer|toll-like receptor agonist	TLR7|TLR8
JCP2022_017342	D-4476	TGF beta receptor inhibitor	CSNK1A1|CSNK1D|TGFB1
JCP2022_017366	napabucasin	STAT inhibitor	STAT3
JCP2022_017377	UNC1999	histone lysine methyltransferase inhibitor	EZH2
JCP2022_017478	pargyline	monoamine oxidase inhibitor	MAOA|MAOB
JCP2022_017500	A-939572	stearoyl-CoA desaturase inhibitor	SCD
JCP2022_017526	naltrexone	opioid receptor antagonist	OPRD1|OPRK1|OPRM1|SIGMAR1
JCP2022_017531	phenprocoumon	vitamin K antagonist	VKORC1
JCP2022_017597	primidone	GABA receptor antagonist	CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
JCP2022_017694	capsazepine	TRPV agonist	TRPV1|TRPV4
JCP2022_017705	peficitinib	JAK inhibitor	JAK1|JAK2|JAK3
JCP2022_017720	tamsulosin	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D
JCP2022_017740	melatonin	melatonin receptor agonist|nitric oxide synthase inhibitor	ASMT|CALM1|CALR|EPX|ESR1|HTR2B|MPO|MTNR1A|MTNR1B|NQO2|RORB
JCP2022_017782	SB-683698	integrin antagonist	ITGA4|ITGAV|ITGB1|ITGB7
JCP2022_017785	TC-G-1008	G protein-coupled receptor agonist	GPR39
JCP2022_017787	uridine	dopamine receptor agonist	LSM6|TYMP
JCP2022_017871	IOWH032	CFTR channel antagonist	CFTR
JCP2022_017913	irosustat	steroid sulfatase inhibitor	CA2|STS
JCP2022_017914	2,5-furandimethanol	hemoglobin modulator	HBB
JCP2022_017927	CCG-1423	apoptosis stimulant	RHOC|SRF
JCP2022_017939	OG-L002	histone lysine demethylase inhibitor	KDM1A
JCP2022_017973	camphor-(1R)	TRPV activator	TRPV1
JCP2022_018019	bisindolylmaleimide-IX	PKC inhibitor	AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SIRT1
JCP2022_018063	AZD7545	pyruvate dehydrogenase kinase inhibitor	PDK1
JCP2022_018065	BI-D1870	ribosomal protein inhibitor	RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6
JCP2022_018074	prasugrel	purinergic receptor antagonist	P2RY12
JCP2022_018218	gentiopicrin	glutamate receptor downregulator	GRIN2B
JCP2022_018264	VE-821	ATR kinase inhibitor	ATR
JCP2022_018323	practolol	adrenergic receptor antagonist	ADRB1
JCP2022_018375	SR-1078	retinoid receptor agonist	RORA|RORC
JCP2022_018378	5-hydroxymethyl-tolterodine	acetylcholine receptor antagonist	CHRM3
JCP2022_018382	osimertinib	EGFR inhibitor	EGFR
JCP2022_018557	W-54011	anaphylatoxin chemotactic receptor antagonist	C5AR1
JCP2022_018598	SRPIN340	serine arginine protein kinase inhibitor	SRPK1|SRPK2
JCP2022_018615	AMG-337	MET inhibitor	MET
JCP2022_018730	PF-05212384	mTOR inhibitor|PI3K inhibitor	MTOR|PIK3CA
JCP2022_018749	PD-173074	FGFR inhibitor|VEGFR inhibitor	FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB
JCP2022_018759	isoliquiritigenin	guanylate cyclase activator	GABBR1
JCP2022_018762	ESI-09	EPAC inhibitor	RAPGEF3|RAPGEF4
JCP2022_018778	oxybenzone	lipase inhibitor	LIPE
JCP2022_018834	xamoterol	adrenergic receptor agonist	ADRB1
JCP2022_018888	glycitein	tumor necrosis factor release inhibitor	TNF
JCP2022_018899	KH-CB19	CDC inhibitor	CLK1|CLK3|DYRK1A
JCP2022_018934	cycloserine-(D)	bacterial cell wall synthesis inhibitor	GRIN1
JCP2022_018939	ebselen	cyclooxygenase inhibitor|glutathione peroxidase agonist|H+/K+-ATPase inhibitor|nitric oxide synthase inhibitor	ALB
JCP2022_018950	NVP-TNKS656	tankyrase inhibitor	TNKS2
JCP2022_018971	EED226	polycomb protein inhibitor	EED
JCP2022_018988	lumefantrine	antimalarial agent	ATP1A1
JCP2022_018995	enasidenib	isocitrate dehydrogenase inhibitor	IDH1
JCP2022_019001	crenolanib	PDGFR tyrosine kinase receptor inhibitor	CSF1R|FLT3|KIT|PDGFRA|PDGFRB
JCP2022_019144	TAK-593	VEGFR inhibitor	PDGFRA
JCP2022_019182	etomoxir	carnitine palmitoyltransferase inhibitor	CPT1A
JCP2022_019301	sparfloxacin	bacterial DNA gyrase inhibitor	TOP2A
JCP2022_019312	moxifloxacin	bacterial DNA gyrase inhibitor	TOP2A
JCP2022_019314	ixabepilone	microtubule stabilizing agent	TUBB
JCP2022_019333	repaglinide	insulin secretagogue	ABCC8|KCNJ11|PPARG
JCP2022_019376	captopril	angiotensin converting enzyme inhibitor	ACE|LTA4H|MMP2|MMP9
JCP2022_019435	WAY-170523	metalloproteinase inhibitor	MMP13
JCP2022_019441	pramipexole	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C
JCP2022_019453	OC000459	CRTH receptor antagonist	PTGDR2
JCP2022_019474	pepstatin	aspartic protease inhibitor	CTSB|CTSD|CTSL|REN
JCP2022_019480	SNS-314	Aurora kinase inhibitor	AURKA|AURKB|AURKC
JCP2022_019548	epacadostat	indoleamine 2,3-dioxygenase inhibitor	IDO1
JCP2022_019559	PF-4708671	ribosomal protein inhibitor	RPS6KB1
JCP2022_019585	solifenacin-succinate	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
JCP2022_019586	methotrexate	dihydrofolate reductase inhibitor	DHFR
JCP2022_019600	lucanthone	endonuclease inhibitor	APEX1|TOP1|TOP2A
JCP2022_019881	sulfanilamide	carbonic anhydrase inhibitor	CYP2C19|CYP2C9|CYP2D6|CYP2E1|CYP3A4
JCP2022_019911	hypoxanthine	PARP inhibitor	PNP
JCP2022_019933	dacarbazine	DNA alkylating agent	PGD|POLA2
JCP2022_019945	olaparib	PARP inhibitor	PARP1|PARP2
JCP2022_019949	olmutinib	Bruton's tyrosine kinase (BTK) inhibitor|EGFR inhibitor	BTK|EGFR
JCP2022_019962	ALX-5407	glycine transporter inhibitor	SLC6A9
JCP2022_020054	benperidol	dopamine receptor antagonist	DRD2
JCP2022_020058	resminostat	HDAC inhibitor	HDAC1|HDAC3|HDAC6|HDAC8
JCP2022_020062	SKA-31	potassium channel activator	KCNN4
JCP2022_020117	darusentan	endothelin receptor antagonist	EDNRA
JCP2022_020127	ondansetron	serotonin receptor antagonist	HTR3A|HTR3B
JCP2022_020163	sodium-butyrate	HDAC inhibitor	BCHE|FFAR2|FFAR3|HDAC1|HDAC2|HDAC3|HDAC8
JCP2022_020166	zacopride	serotonin receptor antagonist	HTR3A|HTR3B|HTR4|HTR5A
JCP2022_020211	trimethobenzamide	histamine receptor antagonist	DRD2
JCP2022_020248	L-methionine	voltage-gated calcium channel ligand	BHMT|BHMT2|METAP2|MTR|MTRR
JCP2022_020269	carbamazepine	carboxamide antiepileptic	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
JCP2022_020285	iodipamide	radiopaque medium	ALB
JCP2022_020389	rheochrysidin	protein tyrosine kinase inhibitor	PTPN1
JCP2022_020398	VUF10166	serotonin receptor antagonist	HTR3A|HTR3B
JCP2022_020403	sarpogrelate	serotonin receptor antagonist	HTR2A|HTR2B|HTR2C
JCP2022_020521	lesinurad	uric acid diuretic	SLC22A12
JCP2022_020544	OSI-930	KIT inhibitor|VEGFR inhibitor	FLT1|KDR|KIT
JCP2022_020587	domperidone	dopamine receptor antagonist	DRD2|DRD3
JCP2022_020615	AZD2858	glycogen synthase kinase inhibitor	GSK3B
JCP2022_020639	pefloxacin	bacterial DNA gyrase inhibitor	TOP2A
JCP2022_020650	alacepril	angiotensin converting enzyme inhibitor	ACE
JCP2022_020718	CYM-50260	sphingosine 1-phosphate receptor agonist	S1PR4
JCP2022_020778	SB-431542	TGF beta receptor inhibitor	ACVR1C|TGFBR1
JCP2022_020872	Ro-4987655	MEK inhibitor	MAP2K1
JCP2022_020883	HLCL-61	protein arginine N-methyltransferase inhibitor	PRMT5
JCP2022_020906	temocapril	angiotensin converting enzyme inhibitor	ACE
JCP2022_020984	EW-7197	TGF beta receptor inhibitor	ACVR1B|TGFBR1
JCP2022_021012	SN-38	topoisomerase inhibitor	TOP1
JCP2022_021013	zibotentan	endothelin receptor antagonist	EDNRA
JCP2022_021039	metyrapone	cytochrome P450 inhibitor	CYP11B1
JCP2022_021041	fluvastatin	HMGCR inhibitor	HMGCR
JCP2022_021139	eliglustat	glycosyl transferase inhibitor	UGCG
JCP2022_021157	talabostat	dipeptidyl peptidase inhibitor|fibroblast activation protein inhibitor	DPP4
JCP2022_021238	procaterol	adrenergic receptor agonist	ADRB2
JCP2022_021253	LY2365109	glycine transporter inhibitor	SLC6A9
JCP2022_021272	GSK2816126	histone lysine methyltransferase inhibitor	EZH2
JCP2022_021354	elacytarabine	antineoplastic agent	DCK
JCP2022_021425	methazolamide	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA7
JCP2022_021472	L-701324	glutamate receptor antagonist	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D
JCP2022_021547	dehydroepiandrosterone	protein synthesis stimulant	ESR1|ESR2|G6PD|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|HSD17B1|NR1I2|NR1I3|PPARA|SIGMAR1|SULT2A1|SULT2B1
JCP2022_021587	YM-750	ACAT inhibitor	SOAT1
JCP2022_021678	CYM-5520	sphingosine 1-phosphate receptor agonist	S1PR2
JCP2022_021751	regorafenib	FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	ABL1|BRAF|DDR2|EPHA2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|NTRK1|PDGFRA|PDGFRB|RAF1|RET|TEK
JCP2022_021775	sapropterin	phenylalanine 4-hydroxylase stimulant	NOS3|PAH|TH|TPH1
JCP2022_021795	GP1a	cannabinoid receptor agonist	CNR2
JCP2022_021824	NK-252	nuclear factor erythroid derived|like (NRF2) activator	NFE2L2
JCP2022_021855	AGI-5198	isocitrate dehydrogenase inhibitor	IDH1
JCP2022_021857	triamterene	sodium channel blocker	SCNN1A|SCNN1B|SCNN1D|SCNN1G
JCP2022_021886	thiotepa	cytochrome P450 inhibitor	CYP2B6|CYP3A4
JCP2022_021906	amuvatinib	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor	KIT|MET
JCP2022_021918	halofantrine	antimalarial agent	KCNN4
JCP2022_021927	TTNPB	retinoid receptor agonist	RARA|RARB|RARG
JCP2022_021963	GPR120-modulator-1	G protein-coupled receptor modulator	FFAR4
JCP2022_021969	SANT-1	smoothened receptor antagonist	SHH|SMO
JCP2022_022068	ketanserin	serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2
JCP2022_022085	WAY-600	mTOR inhibitor	MTOR
JCP2022_022109	retinol	retinoid receptor ligand	ALDH1A1|ALDH1A2|ALDH1A3|DHRS3|DHRS4|LRAT|NR2C2|RBP1|RBP3|RDH11|RDH12|RDH13|RDH14|RDH5|RDH8|RETSAT|RHO|RLBP1|RXRA|RXRB|RXRG
JCP2022_022142	panobinostat	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9
JCP2022_022191	pentostatin	adenosine deaminase inhibitor|ribonucleotide reductase inhibitor	ADA
JCP2022_022208	PHCCC	glutamate receptor agonist	GRM1|GRM4
JCP2022_022263	ASP-2535	glycine transporter inhibitor	SLC6A9
JCP2022_022359	GSK37647	free fatty acid receptor agonist	FFAR4
JCP2022_022371	exherin	cadherin antagonist	CDH2
JCP2022_022505	T-0070907	PPAR receptor antagonist	PPARG
JCP2022_022643	tolperisone	voltage-gated sodium channel blocker	CYP2C19|CYP2D6
JCP2022_022682	TCS-359	FLT3 inhibitor	FLT3
JCP2022_022692	acemetacin	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_022739	sarcosine	glycine transporter inhibitor	SLC6A9
JCP2022_022756	riluzole	glutamate inhibitor	KCNK10|KCNK2|KCNK4|KCNN4|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|SLC7A11
JCP2022_022792	BIBX-1382	EGFR inhibitor	EGFR|ERBB2
JCP2022_022896	quinpirol-(-)	dopamine receptor agonist	DRD1|DRD2|DRD3|DRD4|HTR1A|HTR2A|HTR2B|HTR2C
JCP2022_022913	naringenin	aromatase inhibitor|TRPV antagonist	CYP19A1|CYP1B1|ESR2|GLO1|HSD17B1
JCP2022_022963	moracizine	sodium channel blocker	SCN5A
JCP2022_023039	firocoxib	cyclooxygenase inhibitor	PTGS2
JCP2022_023089	MF-101	estrogen receptor agonist	CYP19A1|XDH
JCP2022_023138	9-aminocamptothecin	topoisomerase inhibitor	TOP1
JCP2022_023154	EX-527	SIRT inhibitor	SIRT1
JCP2022_023214	ginsenoside-C-K	NFkB pathway inhibitor|nitric oxide synthase inhibitor	PTGS2
JCP2022_023274	ML347	ALK tyrosine kinase receptor inhibitor	ACVR1|ACVRL1|BMPR1A
JCP2022_023282	umeclidinium	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3
JCP2022_023286	NSC-4644	ACAT inhibitor|sterol regulatory element binding protein (SREBP) inhibitor	PYGM
JCP2022_023307	honokiol	AKT inhibitor	ALOX5|PTGS1|PTGS2
JCP2022_023388	odanacatib	cathepsin inhibitor	CTSK
JCP2022_023420	defactinib	focal adhesion kinase inhibitor	PTK2
JCP2022_023548	CPCCOEt	glutamate receptor antagonist	GRM1
JCP2022_023579	JNJ-42041935	hypoxia inducible factor prolyl hydroxylase inhibitor	PDK2
JCP2022_023729	purmorphamine	smoothened receptor agonist	SMO
JCP2022_023781	TCN201	glutamate receptor antagonist	GRIN2A
JCP2022_023837	probucol	atherogenesis inhibitor	ABCA1|ABCB11|CES1
JCP2022_023860	VX-702	p38 MAPK inhibitor	IL1B|IL6|MAPK11|MAPK12|MAPK14|TNF
JCP2022_023887	LY2584702	ribosomal protein inhibitor	RPS6KB1
JCP2022_023953	P7C3	NAMPT inhibitor	NAMPT
JCP2022_024002	voglibose	glucosidase inhibitor	MGAM
JCP2022_024147	capecitabine	DNA synthesis inhibitor|thymidylate synthase inhibitor	TYMS
JCP2022_024236	NSC-697923	ubiquitin-conjugating enzyme inhibitor	UBE2N
JCP2022_024260	morinidazole	other antibiotic	CYP51A1
JCP2022_024265	vinorelbine	tubulin polymerization inhibitor	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8
JCP2022_024305	MK-0773	androgen receptor modulator	AR
JCP2022_024309	SCMC-Lys	mucolytic agent	GSTP1
JCP2022_024450	enalapril	angiotensin converting enzyme inhibitor	ACE
JCP2022_024529	tozasertib	Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor	AURKA|AURKB|AURKC|LCK
JCP2022_024601	alrestatin	aldose reductase inhibitor	AKR1B1
JCP2022_024642	AZD3463	ALK tyrosine kinase receptor inhibitor|insulin growth factor receptor inhibitor	ALK|IGF1R
JCP2022_024699	quinagolide	dopamine receptor agonist	DRD2
JCP2022_024747	diazoxide	potassium channel activator	ATP1A1|CA1|CA2|KCNJ11|KCNJ8|KCNMA1|SLC12A3
JCP2022_024749	clomipramine	serotonin transporter (SERT) inhibitor	GSTP1|HTR2A|HTR2B|HTR2C|SLC6A2|SLC6A3|SLC6A4
JCP2022_024824	RKI-1447	rho associated kinase inhibitor	CDC42BPA|DMPK|LIMK1|MYLK|PAK1|PKN1|ROCK1|ROCK2
