family,codec,metric,mean,sd,q025,median,q975,min,max
morphem,MQ,product,0.011115814777203468,0.014060930099147745,-0.011711968097680752,0.009466557385601149,0.043042752630159775,-0.0292854549817434,0.0825538112268049
morphem,Raw,pa,0.3601066082367108,0.02031776285724237,0.32019902827561847,0.3606736089477558,0.4006468547995175,0.2945044152673334,0.4306518897845752
morphem,Raw,pc,0.03620697478191971,0.04256640211259977,-0.032653819095066365,0.03098560832122285,0.13200356277796255,-0.0810144520426459,0.2260656632131053
morphem,Raw,product,0.013159979982964616,0.015560233032610036,-0.011534177818953018,0.01094941001212615,0.04838594013649774,-0.030374440275302,0.0822002711241389
openphenom,D20,pa,0.21492712603400888,0.017024474267634374,0.18183077303486395,0.2145558165502042,0.250025312959996,0.1622809189581901,0.2735086938416151
openphenom,D20,pc,0.013613572550038628,0.03512536191874648,-0.04565174436247681,0.00862774728496735,0.09351624042130495,-0.0985025112619745,0.1945342639039194
openphenom,D20,product,0.0029516236452057074,0.007591964641573384,-0.009438051521804887,0.0018741556357022501,0.020794518086086844,-0.0233795537555069,0.0420121730325172
openphenom,HQ,pa,0.28852955100213207,0.018615715890809112,0.2522371299738315,0.28842926258257173,0.3268942743786983,0.224505510284389,0.3535039954753278
openphenom,HQ,pc,0.01971917185739245,0.0390489327880245,-0.04461188448515257,0.01468295438691905,0.11409720668499206,-0.0996925274601076,0.1827789225941312
openphenom,HQ,product,0.0057517288555166265,0.0113305833001611,-0.012638089012550199,0.00423365791873465,0.0337335416600813,-0.0305342569926581,0.0559257612813222
openphenom,MQ,pa,0.26572622307328425,0.01805531282417849,0.22947168186726197,0.2660825913501404,0.30206907757912993,0.2034639851892111,0.3277767669127416
openphenom,MQ,pc,0.017612178709718842,0.037071376899744705,-0.041585714416026556,0.0133496102965262,0.10048676559915629,-0.119418075442424,0.1886773517522245
openphenom,MQ,product,0.004727226002643277,0.00996778197127116,-0.011141227923266538,0.00352236796518845,0.02732304383504041,-0.0308322893189413,0.0592753163950927
openphenom,Raw,pa,0.2849327856486056,0.018579219186813836,0.24859174152906577,0.2848661989497905,0.3227630075338778,0.2209789423541031,0.3469047095452968
openphenom,Raw,pc,0.01996352886627543,0.038372184242887075,-0.0404652095747821,0.0152443708507278,0.10455027709350834,-0.1537477983182795,0.2366657885515224
openphenom,Raw,product,0.005743162958688531,0.011035616939507378,-0.01200355061774934,0.00439344433112395,0.030850994089371003,-0.0476385900049781,0.0706530096935003
subcell,D20,pa,0.2687129637713291,0.018314951051816842,0.23240276469821355,0.26881315715364273,0.30525988491320527,0.2078531809678453,0.3448003728359433
subcell,D20,pc,0.018200035797089828,0.03779122612895139,-0.04377459414165916,0.01393892115308,0.10363540736825705,-0.1073271457883168,0.221166550274885
subcell,D20,product,0.0049176392149173935,0.010208506691102763,-0.011544305538501217,0.00377799548889185,0.028005990621309127,-0.0279329613413205,0.0596748272977322
subcell,HQ,pa,0.29082892214614947,0.018667686245745708,0.25516258405003805,0.29124681175171074,0.32889239649238744,0.2296300741420322,0.3568374595844752
subcell,HQ,pc,0.023031795239805686,0.03960988344066342,-0.038193953835520995,0.0176860705038751,0.11528052494535475,-0.1089009339517458,0.2296638969926389
subcell,HQ,product,0.006762535782503113,0.011591651820127778,-0.011256072642058815,0.0050481566290344,0.0341879676614865,-0.0262129618255725,0.068817863861666
subcell,MQ,pa,0.29158988828708926,0.018522999985794063,0.25600785404159043,0.2919110543009614,0.3282271520848149,0.2308532215018656,0.3625836389052603
subcell,MQ,pc,0.024738682454720284,0.03918444816079589,-0.03867863658513579,0.02037651081622705,0.11816808183198373,-0.09503701632255,0.1955228456139616
subcell,MQ,product,0.007279672180465738,0.011529265633798727,-0.01103077898048201,0.00589015185896825,0.03496329155571707,-0.0286969998207333,0.06050329857824
subcell,Raw,pa,0.28497108417525546,0.01892900358187205,0.2482904608155916,0.2853558165287946,0.3238378901762358,0.2222611810311241,0.3488285172120175
subcell,Raw,pc,0.02105692084290552,0.04047186840599308,-0.04121808202510358,0.01430182921884675,0.11389516435353012,-0.0821889140704833,0.247578196384252
subcell,Raw,product,0.006064961229519628,0.011647673854248784,-0.011635343940809083,0.0040594959963333,0.0334536406466111,-0.0240174042514159,0.0713214602565307
