family,display_family,margin,unit_id,d2_value,mq_value,unit_delta_mq_minus_d2,symmetric_product_contribution,absolute_contribution,leave_one_unit_influence,absolute_rank
subcell,SubCell,PA,BRD-K09143580-001-02-9,0.1571293874694815,0.3445072037212673,0.18737781625178582,3.707682852249566e-05,3.707682852249566e-05,4.2191942508280206e-05,131
subcell,SubCell,PA,BRD-K09295674-001-09-8,0.1136555470910198,-0.0520070035838452,-0.165662550674865,-3.277998488208274e-05,3.277998488208274e-05,-2.5385815756909236e-05,154
subcell,SubCell,PA,BRD-K09338665-001-07-1,0.1367593624914453,0.1189665603693481,-0.01779280212209719,-3.520697841462901e-06,3.520697841462901e-06,2.863090852324446e-06,425
subcell,SubCell,PA,BRD-K09787262-001-03-9,0.7363878298719277,0.794399034708889,0.058011204836961205,1.1478794753553877e-05,1.1478794753553877e-05,1.0643445276584118e-05,322
subcell,SubCell,PA,BRD-K10670311-001-15-5,0.1930445305886209,0.279681238437788,0.08663670784916713,1.7142981089932036e-05,1.7142981089932036e-05,2.2357540529958225e-05,264
subcell,SubCell,PA,BRD-K10843433-001-23-5,0.2418620207461231,0.3002374854456609,0.05837546469953783,1.1550871591316964e-05,1.1550871591316964e-05,1.63516404014033e-05,320
subcell,SubCell,PA,BRD-K11558771-001-16-9,0.3435243145147141,0.5422303158982513,0.19870600138353722,3.931835948919583e-05,3.931835948919583e-05,4.225120850409603e-05,125
subcell,SubCell,PA,BRD-K11796549-001-06-9,0.1512220151356217,0.2840696247798605,0.13284760964423878,2.6286825948404863e-05,2.6286825948404863e-05,3.1744753526522645e-05,195
subcell,SubCell,PA,BRD-K12102668-001-25-5,0.8279205085278674,0.6037770748614246,-0.22414343366644274,-4.435171580464437e-05,4.435171580464437e-05,-4.480527074923399e-05,113
subcell,SubCell,PA,BRD-K12502280-001-16-9,0.335595940910904,0.1753422579388876,-0.1602536829720164,-3.170972126000111e-05,3.170972126000111e-05,-2.6873159534066687e-05,164
subcell,SubCell,PA,BRD-K13094524-001-06-7,0.4142775250700834,0.5365209909668432,0.12224346589675983,2.418856251883827e-05,2.418856251883827e-05,2.670103154533976e-05,205
subcell,SubCell,PA,BRD-K13533483-001-16-2,0.9768616277003572,1.0,0.023138372299642773,4.578436653839178e-06,4.578436653839178e-06,1.1776726610221444e-06,397
subcell,SubCell,PA,BRD-K14560436-001-02-9,1.0,1.0,0.0,0.0,0.0,-3.54767250200852e-06,489
subcell,SubCell,PA,BRD-K14681867-001-01-6,0.2917141306608329,0.1174593220363739,-0.17425480862445902,-3.4480152388518344e-05,3.4480152388518344e-05,-2.907257752129966e-05,143
subcell,SubCell,PA,BRD-K15179513-001-04-2,0.4685392701350305,0.6218848803444638,0.15334561020943327,3.0342806892213583e-05,3.0342806892213583e-05,3.207953624375509e-05,170
subcell,SubCell,PA,BRD-K15502390-001-19-1,0.0706218138437406,-0.0676119574815656,-0.13823377132530618,-2.7352596683906587e-05,2.7352596683906587e-05,-1.960637073631158e-05,187
subcell,SubCell,PA,BRD-K15819326-001-02-9,0.4160737760343167,0.3509658217076457,-0.06510795432667105,-1.2883042967993043e-05,1.2883042967993043e-05,-9.444626696150649e-06,311
subcell,SubCell,PA,BRD-K16444452-001-12-9,0.1382909466007981,-0.0608003776485923,-0.1990913242493904,-3.93946041061351e-05,3.93946041061351e-05,-3.211242763504624e-05,124
subcell,SubCell,PA,BRD-K16472653-001-03-9,0.5604587642835506,0.3410584277059892,-0.21940033657756136,-4.341318956419713e-05,4.341318956419713e-05,-4.084144393443068e-05,116
subcell,SubCell,PA,BRD-K16542329-001-13-5,0.3902542847080661,0.2551518280709888,-0.13510245663707732,-2.6732997095930674e-05,2.6732997095930674e-05,-2.264663486099827e-05,191
subcell,SubCell,PA,BRD-K16730910-001-12-9,0.7697326019829417,1.0,0.2302673980170583,4.5563477050706423e-05,4.5563477050706423e-05,4.3477801949347306e-05,109
